"Club","LeagueNameLong","Position","Points","MatchPlayed","Win","Draw","Lost","GoalScored","Conceded","GoalDiff.","LeagueNameShort","LeagueSeason","totalShots"
"Bayern Munich","German Bundesliga",1,68,32,20,8,4,89,34,55,"Bundesliga","2022/23",565
"Benfica","Portuguese Primeira Liga",1,83,32,27,2,3,77,18,59,"Primeira Liga","2022/23",497
"Boavista","Portuguese Primeira Liga",11,40,32,11,7,14,38,52,-14,"Primeira Liga","2022/23",0
"Bologna","Italian Serie-A",10,46,34,12,10,12,43,44,-1,"Serie-A","2022/23",0
"Borussia Dortmund","German Bundesliga",2,67,32,21,4,7,78,42,36,"Bundesliga","2022/23",505
"Borussia Monchengladbach","German Bundesliga",11,39,32,10,9,13,48,53,-5,"Bundesliga","2022/23",0
"Braga","Portuguese Primeira Liga",3,71,31,23,2,6,66,26,40,"Primeira Liga","2022/23",0
"Brentford","English Premier League",10,50,35,12,14,9,52,45,7,"EPL","2022/23",0
"Brest","French Ligue 1",15,35,34,8,11,15,38,50,-12,"Ligue-1","2022/23",0
"Brighton & Hove Albion","English Premier League",8,55,33,16,7,10,63,45,18,"EPL","2022/23",0
"Cádiz","Spanish La Liga",15,35,34,8,11,15,26,50,-24,"La Liga","2022/23",0
"Casa Pia","Portuguese Primeira Liga",10,40,31,11,7,13,28,35,-7,"Primeira Liga","2022/23",0
"Celta Vigo","Spanish La Liga",13,39,33,10,9,14,38,46,-8,"La Liga","2022/23",0
"Chelsea","English Premier League",11,43,35,11,10,14,36,41,-5,"EPL","2022/23",423
"Clermont Foot","French Ligue 1",11,50,34,14,8,12,37,44,-7,"Ligue-1","2022/23",0
"Cremonese","Italian Serie-A",19,24,34,4,12,18,31,59,-28,"Serie-A","2022/23",0
"Crystal Palace","English Premier League",12,43,36,11,10,15,37,46,-9,"EPL","2022/23",0
"Eintracht Frankfurt","German Bundesliga",8,46,32,12,10,10,54,49,5,"Bundesliga","2022/23",0
"Elche","Spanish La Liga",20,16,33,3,7,23,25,64,-39,"La Liga","2022/23",0
